 ZESTAW nr   1
 Blad sredni jednostkowy =  .0915 mm/stanowisko,     kod:/.0865/  1/  2/   3
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43174    -.17    -.43191     .15
 2     1     5   5     .68009     .21     .68030     .16
 3     2     3   4    -.57340    -.05    -.57345     .15
 4     2     4   7    -.05098    -.04    -.05102     .15
 5     2     5   7    1.11239    -.17    1.11222     .16
 6     3     4   6     .52242     .01     .52243     .15
 7     3     6   6    -.56917    -.09    -.56926     .17
 8     4     5   7    1.16336    -.13    1.16323     .17
 9     4     6   8   -1.09153    -.16   -1.09169     .16
10     4     7   6     .94027     .20     .94047     .17
11     6     7   6    2.03248    -.32    2.03216     .15
12     6     8   6    -.06197     .12    -.06185     .18
13     6     9   8    1.03334     .00    1.03334     .16
14     7     9   6    -.99871    -.11    -.99882     .17
15     8     9   5    1.09509     .10    1.09519     .17
                     Reper    H(m)   mH(mm)
                        1  10.50386   .163
                        2  10.07195   .121
                        3   9.49850   .119
                        4  10.02093   .102
                        5  11.18416   .149
                        6   8.92924   .110
                        7  10.96140   .133
                        8   8.86739   .171
                        9   9.96258   .152
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .026481  .008875 -.000648 -.001143  .011262 -.008854 -.009490 -.013594 -.012890
   .008875  .014643  .003226  .000927  .006318 -.006019 -.006954 -.010830 -.010186
  -.000648  .003226  .014213  .001353 -.000836 -.001119 -.003798 -.006344 -.006046
  -.001143  .000927  .001353  .010325  .000923 -.001397 -.000470 -.005766 -.004753
   .011262  .006318 -.000836  .000923  .022096 -.007743 -.008007 -.012395 -.011618
  -.008854 -.006019 -.001119 -.001397 -.007743  .012095  .003190  .005390  .004456
  -.009490 -.006954 -.003798 -.000470 -.008007  .003190  .017717  .002053  .005759
  -.013594 -.010830 -.006344 -.005766 -.012395  .005390  .002053  .029366  .012119
  -.012890 -.010186 -.006046 -.004753 -.011618  .004456  .005759  .012119  .023158
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50386   10.07195    -.43191    .15
    2      1      3   10.50386    9.49850   -1.00536    .20
    3      1      4   10.50386   10.02093    -.48293    .20
    4      1      5   10.50386   11.18416     .68030    .16
    5      1      6   10.50386    8.92924   -1.57462    .24
    6      1      7   10.50386   10.96140     .45754    .25
    7      1      8   10.50386    8.86739   -1.63647    .29
    8      1      9   10.50386    9.96258    -.54128    .27
    9      2      3   10.07195    9.49850    -.57345    .15
   10      2      4   10.07195   10.02093    -.05102    .15
   11      2      5   10.07195   11.18416    1.11222    .16
   12      2      6   10.07195    8.92924   -1.14271    .20
   13      2      7   10.07195   10.96140     .88946    .22
   14      2      8   10.07195    8.86739   -1.20456    .26
   15      2      9   10.07195    9.96258    -.10937    .24
   16      3      4    9.49850   10.02093     .52243    .15
   17      3      5    9.49850   11.18416    1.68567    .19
   18      3      6    9.49850    8.92924    -.56926    .17
   19      3      7    9.49850   10.96140    1.46291    .20
   20      3      8    9.49850    8.86739    -.63111    .24
   21      3      9    9.49850    9.96258     .46408    .22
   22      4      5   10.02093   11.18416    1.16323    .17
   23      4      6   10.02093    8.92924   -1.09169    .16
   24      4      7   10.02093   10.96140     .94047    .17
   25      4      8   10.02093    8.86739   -1.15354    .23
   26      4      9   10.02093    9.96258    -.05835    .21
   27      5      6   11.18416    8.92924   -2.25492    .22
   28      5      7   11.18416   10.96140    -.22276    .24
   29      5      8   11.18416    8.86739   -2.31677    .28
   30      5      9   11.18416    9.96258   -1.22159    .26
   31      6      7    8.92924   10.96140    2.03216    .15
   32      6      8    8.92924    8.86739    -.06185    .18
   33      6      9    8.92924    9.96258    1.03334    .16
   34      7      8   10.96140    8.86739   -2.09401    .21
   35      7      9   10.96140    9.96258    -.99882    .17
   36      8      9    8.86739    9.96258    1.09519    .17
