 ZESTAW nr  10
 Blad sredni jednostkowy =  .1083 mm/stanowisko,     kod:/.1093/ 10/ 13/  18
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43099    -.14    -.43113     .18
 2     1     5   5     .68091     .18     .68109     .19
 3     2     3   4    -.57373     .00    -.57373     .18
 4     2     4   7    -.05021    -.02    -.05023     .18
 5     2     5   7    1.11244    -.22    1.11222     .18
 6     3     4   6     .52346     .04     .52350     .17
 7     3     6   6    -.56949    -.04    -.56953     .20
 8     4     5   7    1.16248    -.03    1.16245     .21
 9     4     6   8   -1.09290    -.12   -1.09302     .19
10     4     7   6     .94051     .13     .94064     .20
11     6     7   6    2.03345     .21    2.03366     .18
12     6     8   6    -.06162    -.32    -.06194     .21
13     6     9   8    1.03358    -.04    1.03354     .19
14     7     9   6   -1.00047     .35   -1.00012     .20
15     8     9   5    1.09574    -.26    1.09548     .20
                     Reper    H(m)   mH(mm)
                        1  10.50317   .192
                        2  10.07204   .143
                        3   9.49831   .141
                        4  10.02181   .120
                        5  11.18426   .176
                        6   8.92878   .130
                        7  10.96245   .157
                        8   8.86685   .203
                        9   9.96232   .180
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .037050  .012417 -.000906 -.001599  .015757 -.012387 -.013278 -.019019 -.018035
   .012417  .020488  .004513  .001297  .008840 -.008422 -.009729 -.015153 -.014251
  -.000906  .004513  .019885  .001893 -.001170 -.001565 -.005314 -.008876 -.008458
  -.001599  .001297  .001893  .014446  .001291 -.001955 -.000657 -.008067 -.006649
   .015757  .008840 -.001170  .001291  .030914 -.010833 -.011203 -.017341 -.016254
  -.012387 -.008422 -.001565 -.001955 -.010833  .016922  .004463  .007541  .006235
  -.013278 -.009729 -.005314 -.000657 -.011203  .004463  .024788  .002873  .008058
  -.019019 -.015153 -.008876 -.008067 -.017341  .007541  .002873  .041086  .016956
  -.018035 -.014251 -.008458 -.006649 -.016254  .006235  .008058  .016956  .032400
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50317   10.07204    -.43113    .18
    2      1      3   10.50317    9.49831   -1.00486    .24
    3      1      4   10.50317   10.02181    -.48137    .23
    4      1      5   10.50317   11.18426     .68109    .19
    5      1      6   10.50317    8.92878   -1.57439    .28
    6      1      7   10.50317   10.96245     .45927    .30
    7      1      8   10.50317    8.86685   -1.63633    .34
    8      1      9   10.50317    9.96232    -.54085    .32
    9      2      3   10.07204    9.49831    -.57373    .18
   10      2      4   10.07204   10.02181    -.05023    .18
   11      2      5   10.07204   11.18426    1.11222    .18
   12      2      6   10.07204    8.92878   -1.14326    .23
   13      2      7   10.07204   10.96245     .89041    .25
   14      2      8   10.07204    8.86685   -1.20519    .30
   15      2      9   10.07204    9.96232    -.10972    .29
   16      3      4    9.49831   10.02181     .52350    .17
   17      3      5    9.49831   11.18426    1.68595    .23
   18      3      6    9.49831    8.92878    -.56953    .20
   19      3      7    9.49831   10.96245    1.46414    .24
   20      3      8    9.49831    8.86685    -.63146    .28
   21      3      9    9.49831    9.96232     .46401    .26
   22      4      5   10.02181   11.18426    1.16245    .21
   23      4      6   10.02181    8.92878   -1.09302    .19
   24      4      7   10.02181   10.96245     .94064    .20
   25      4      8   10.02181    8.86685   -1.15496    .27
   26      4      9   10.02181    9.96232    -.05948    .25
   27      5      6   11.18426    8.92878   -2.25548    .26
   28      5      7   11.18426   10.96245    -.22181    .28
   29      5      8   11.18426    8.86685   -2.31741    .33
   30      5      9   11.18426    9.96232   -1.22194    .31
   31      6      7    8.92878   10.96245    2.03366    .18
   32      6      8    8.92878    8.86685    -.06194    .21
   33      6      9    8.92878    9.96232    1.03354    .19
   34      7      8   10.96245    8.86685   -2.09560    .25
   35      7      9   10.96245    9.96232   -1.00012    .20
   36      8      9    8.86685    9.96232    1.09548    .20
