 ZESTAW nr  16
 Blad sredni jednostkowy =  .0902 mm/stanowisko,     kod:/.0974/ 16/ 25/  34
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43170    -.09    -.43179     .15
 2     1     5   5     .68111     .11     .68122     .16
 3     2     3   4    -.57248    -.04    -.57252     .15
 4     2     4   7    -.04973     .00    -.04973     .15
 5     2     5   7    1.11310    -.09    1.11301     .15
 6     3     4   6     .52276     .03     .52279     .15
 7     3     6   6    -.56892    -.10    -.56902     .17
 8     4     5   7    1.16281    -.07    1.16274     .17
 9     4     6   8   -1.09201     .20   -1.09181     .16
10     4     7   6     .94131    -.06     .94125     .17
11     6     7   6    2.03319    -.13    2.03306     .15
12     6     8   6    -.06149    -.16    -.06165     .17
13     6     9   8    1.03272     .46    1.03318     .16
14     7     9   6    -.99970    -.18    -.99988     .17
15     8     9   5    1.09497    -.14    1.09483     .17
                     Reper    H(m)   mH(mm)
                        1  10.50279   .160
                        2  10.07100   .119
                        3   9.49848   .117
                        4  10.02127   .100
                        5  11.18401   .147
                        6   8.92946   .108
                        7  10.96253   .131
                        8   8.86781   .169
                        9   9.96264   .150
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .025723  .008621 -.000629 -.001110  .010939 -.008600 -.009218 -.013204 -.012521
   .008621  .014224  .003133  .000901  .006137 -.005847 -.006755 -.010520 -.009894
  -.000629  .003133  .013806  .001314 -.000812 -.001087 -.003690 -.006162 -.005872
  -.001110  .000901  .001314  .010029  .000896 -.001357 -.000456 -.005600 -.004616
   .010939  .006137 -.000812  .000896  .021463 -.007521 -.007778 -.012039 -.011285
  -.008600 -.005847 -.001087 -.001357 -.007521  .011749  .003099  .005236  .004328
  -.009218 -.006755 -.003690 -.000456 -.007778  .003099  .017210  .001994  .005594
  -.013204 -.010520 -.006162 -.005600 -.012039  .005236  .001994  .028525  .011772
  -.012521 -.009894 -.005872 -.004616 -.011285  .004328  .005594  .011772  .022494
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50279   10.07100    -.43179    .15
    2      1      3   10.50279    9.49848   -1.00431    .20
    3      1      4   10.50279   10.02127    -.48152    .19
    4      1      5   10.50279   11.18401     .68122    .16
    5      1      6   10.50279    8.92946   -1.57333    .23
    6      1      7   10.50279   10.96253     .45974    .25
    7      1      8   10.50279    8.86781   -1.63498    .28
    8      1      9   10.50279    9.96264    -.54015    .27
    9      2      3   10.07100    9.49848    -.57252    .15
   10      2      4   10.07100   10.02127    -.04973    .15
   11      2      5   10.07100   11.18401    1.11301    .15
   12      2      6   10.07100    8.92946   -1.14154    .19
   13      2      7   10.07100   10.96253     .89153    .21
   14      2      8   10.07100    8.86781   -1.20319    .25
   15      2      9   10.07100    9.96264    -.10836    .24
   16      3      4    9.49848   10.02127     .52279    .15
   17      3      5    9.49848   11.18401    1.68553    .19
   18      3      6    9.49848    8.92946    -.56902    .17
   19      3      7    9.49848   10.96253    1.46405    .20
   20      3      8    9.49848    8.86781    -.63067    .23
   21      3      9    9.49848    9.96264     .46417    .22
   22      4      5   10.02127   11.18401    1.16274    .17
   23      4      6   10.02127    8.92946   -1.09181    .16
   24      4      7   10.02127   10.96253     .94125    .17
   25      4      8   10.02127    8.86781   -1.15346    .22
   26      4      9   10.02127    9.96264    -.05863    .20
   27      5      6   11.18401    8.92946   -2.25455    .22
   28      5      7   11.18401   10.96253    -.22149    .23
   29      5      8   11.18401    8.86781   -2.31620    .27
   30      5      9   11.18401    9.96264   -1.22137    .26
   31      6      7    8.92946   10.96253    2.03306    .15
   32      6      8    8.92946    8.86781    -.06165    .17
   33      6      9    8.92946    9.96264    1.03318    .16
   34      7      8   10.96253    8.86781   -2.09472    .20
   35      7      9   10.96253    9.96264    -.99988    .17
   36      8      9    8.86781    9.96264    1.09483    .17
