 ZESTAW nr  17
 Blad sredni jednostkowy =  .0785 mm/stanowisko,     kod:/.0813/ 17/ 26/  35
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43128    -.18    -.43146     .13
 2     1     5   5     .68065     .22     .68087     .14
 3     2     3   4    -.57417     .01    -.57416     .13
 4     2     4   7    -.05028     .00    -.05028     .13
 5     2     5   7    1.11266    -.33    1.11233     .13
 6     3     4   6     .52393    -.05     .52388     .13
 7     3     6   6    -.56808     .07    -.56801     .14
 8     4     5   7    1.16258     .02    1.16260     .15
 9     4     6   8   -1.09184    -.05   -1.09189     .14
10     4     7   6     .94055    -.03     .94052     .15
11     6     7   6    2.03226     .15    2.03241     .13
12     6     8   6    -.06163    -.07    -.06170     .15
13     6     9   8    1.03349    -.06    1.03343     .14
14     7     9   6    -.99909     .12    -.99897     .15
15     8     9   5    1.09520    -.06    1.09514     .14
                     Reper    H(m)   mH(mm)
                        1  10.50314   .140
                        2  10.07169   .104
                        3   9.49753   .102
                        4  10.02141   .087
                        5  11.18401   .128
                        6   8.92952   .094
                        7  10.96193   .114
                        8   8.86782   .147
                        9   9.96295   .131
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .019494  .006533 -.000477 -.000841  .008291 -.006518 -.006986 -.010007 -.009489
   .006533  .010780  .002374  .000683  .004651 -.004431 -.005119 -.007973 -.007498
  -.000477  .002374  .010463  .000996 -.000616 -.000823 -.002796 -.004670 -.004450
  -.000841  .000683  .000996  .007601  .000679 -.001029 -.000346 -.004244 -.003499
   .008291  .004651 -.000616  .000679  .016266 -.005700 -.005895 -.009124 -.008552
  -.006518 -.004431 -.000823 -.001029 -.005700  .008904  .002348  .003968  .003280
  -.006986 -.005119 -.002796 -.000346 -.005895  .002348  .013043  .001511  .004240
  -.010007 -.007973 -.004670 -.004244 -.009124  .003968  .001511  .021618  .008921
  -.009489 -.007498 -.004450 -.003499 -.008552  .003280  .004240  .008921  .017048
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50314   10.07169    -.43146    .13
    2      1      3   10.50314    9.49753   -1.00561    .18
    3      1      4   10.50314   10.02141    -.48173    .17
    4      1      5   10.50314   11.18401     .68087    .14
    5      1      6   10.50314    8.92952   -1.57362    .20
    6      1      7   10.50314   10.96193     .45878    .22
    7      1      8   10.50314    8.86782   -1.63533    .25
    8      1      9   10.50314    9.96295    -.54019    .24
    9      2      3   10.07169    9.49753    -.57416    .13
   10      2      4   10.07169   10.02141    -.05028    .13
   11      2      5   10.07169   11.18401    1.11233    .13
   12      2      6   10.07169    8.92952   -1.14217    .17
   13      2      7   10.07169   10.96193     .89024    .18
   14      2      8   10.07169    8.86782   -1.20387    .22
   15      2      9   10.07169    9.96295    -.10873    .21
   16      3      4    9.49753   10.02141     .52388    .13
   17      3      5    9.49753   11.18401    1.68648    .17
   18      3      6    9.49753    8.92952    -.56801    .14
   19      3      7    9.49753   10.96193    1.46440    .17
   20      3      8    9.49753    8.86782    -.62971    .20
   21      3      9    9.49753    9.96295     .46542    .19
   22      4      5   10.02141   11.18401    1.16260    .15
   23      4      6   10.02141    8.92952   -1.09189    .14
   24      4      7   10.02141   10.96193     .94052    .15
   25      4      8   10.02141    8.86782   -1.15359    .19
   26      4      9   10.02141    9.96295    -.05846    .18
   27      5      6   11.18401    8.92952   -2.25449    .19
   28      5      7   11.18401   10.96193    -.22209    .20
   29      5      8   11.18401    8.86782   -2.31620    .24
   30      5      9   11.18401    9.96295   -1.22106    .22
   31      6      7    8.92952   10.96193    2.03241    .13
   32      6      8    8.92952    8.86782    -.06170    .15
   33      6      9    8.92952    9.96295    1.03343    .14
   34      7      8   10.96193    8.86782   -2.09411    .18
   35      7      9   10.96193    9.96295    -.99897    .15
   36      8      9    8.86782    9.96295    1.09514    .14
