 ZESTAW nr   2
 Blad sredni jednostkowy =  .0921 mm/stanowisko,     kod:/.0955/  2/  3/   5
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43159    -.10    -.43169     .15
 2     1     5   5     .68020     .12     .68032     .16
 3     2     3   4    -.57373     .16    -.57357     .15
 4     2     4   7    -.05117    -.08    -.05125     .15
 5     2     5   7    1.11237    -.36    1.11201     .16
 6     3     4   6     .52208     .24     .52232     .15
 7     3     6   6    -.56830    -.01    -.56831     .17
 8     4     5   7    1.16307     .19    1.16326     .18
 9     4     6   8   -1.09085     .21   -1.09064     .16
10     4     7   6     .94117    -.15     .94102     .17
11     6     7   6    2.03151     .15    2.03166     .15
12     6     8   6    -.06253     .03    -.06250     .18
13     6     9   8    1.03152    -.03    1.03149     .16
14     7     9   6   -1.00016     .00   -1.00016     .17
15     8     9   5    1.09397     .02    1.09399     .17
                     Reper    H(m)   mH(mm)
                        1  10.50369   .164
                        2  10.07200   .122
                        3   9.49843   .120
                        4  10.02075   .102
                        5  11.18401   .150
                        6   8.93012   .111
                        7  10.96177   .134
                        8   8.86761   .172
                        9   9.96161   .153
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .026813  .008986 -.000656 -.001157  .011403 -.008964 -.009609 -.013764 -.013052
   .008986  .014827  .003266  .000939  .006397 -.006095 -.007041 -.010966 -.010313
  -.000656  .003266  .014391  .001370 -.000847 -.001133 -.003846 -.006424 -.006121
  -.001157  .000939  .001370  .010454  .000934 -.001415 -.000476 -.005838 -.004812
   .011403  .006397 -.000847  .000934  .022372 -.007840 -.008107 -.012550 -.011763
  -.008964 -.006095 -.001133 -.001415 -.007840  .012246  .003230  .005458  .004512
  -.009609 -.007041 -.003846 -.000476 -.008107  .003230  .017939  .002079  .005831
  -.013764 -.010966 -.006424 -.005838 -.012550  .005458  .002079  .029733  .012271
  -.013052 -.010313 -.006121 -.004812 -.011763  .004512  .005831  .012271  .023448
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50369   10.07200    -.43169    .15
    2      1      3   10.50369    9.49843   -1.00526    .21
    3      1      4   10.50369   10.02075    -.48294    .20
    4      1      5   10.50369   11.18401     .68032    .16
    5      1      6   10.50369    8.93012   -1.57357    .24
    6      1      7   10.50369   10.96177     .45808    .25
    7      1      8   10.50369    8.86761   -1.63608    .29
    8      1      9   10.50369    9.96161    -.54208    .28
    9      2      3   10.07200    9.49843    -.57357    .15
   10      2      4   10.07200   10.02075    -.05125    .15
   11      2      5   10.07200   11.18401    1.11201    .16
   12      2      6   10.07200    8.93012   -1.14189    .20
   13      2      7   10.07200   10.96177     .88977    .22
   14      2      8   10.07200    8.86761   -1.20439    .26
   15      2      9   10.07200    9.96161    -.11040    .24
   16      3      4    9.49843   10.02075     .52232    .15
   17      3      5    9.49843   11.18401    1.68558    .20
   18      3      6    9.49843    8.93012    -.56831    .17
   19      3      7    9.49843   10.96177    1.46334    .20
   20      3      8    9.49843    8.86761    -.63081    .24
   21      3      9    9.49843    9.96161     .46318    .22
   22      4      5   10.02075   11.18401    1.16326    .18
   23      4      6   10.02075    8.93012   -1.09064    .16
   24      4      7   10.02075   10.96177     .94102    .17
   25      4      8   10.02075    8.86761   -1.15314    .23
   26      4      9   10.02075    9.96161    -.05914    .21
   27      5      6   11.18401    8.93012   -2.25390    .22
   28      5      7   11.18401   10.96177    -.22224    .24
   29      5      8   11.18401    8.86761   -2.31640    .28
   30      5      9   11.18401    9.96161   -1.22241    .26
   31      6      7    8.93012   10.96177    2.03166    .15
   32      6      8    8.93012    8.86761    -.06250    .18
   33      6      9    8.93012    9.96161    1.03149    .16
   34      7      8   10.96177    8.86761   -2.09416    .21
   35      7      9   10.96177    9.96161   -1.00016    .17
   36      8      9    8.86761    9.96161    1.09399    .17
