 ZESTAW nr   6
 Blad sredni jednostkowy =  .0977 mm/stanowisko,     kod:/.0946/  6/  7/  11
 Lp.   od    do   n    DHo(m)   V(mm)    DHw(m)    mDHw(mm)
 1     1     2   4    -.43072     .15    -.43057     .16
 2     1     5   5     .68189    -.19     .68170     .17
 3     2     3   4    -.57369     .25    -.57344     .16
 4     2     4   7    -.05004    -.32    -.05036     .16
 5     2     5   7    1.11212     .15    1.11227     .17
 6     3     4   6     .52283     .25     .52308     .16
 7     3     6   6    -.56927     .12    -.56915     .18
 8     4     5   7    1.16251     .12    1.16263     .19
 9     4     6   8   -1.09205    -.18   -1.09223     .17
10     4     7   6     .94039     .01     .94040     .18
11     6     7   6    2.03259     .03    2.03262     .16
12     6     8   6    -.06125    -.06    -.06131     .19
13     6     9   8    1.03383     .02    1.03385     .17
14     7     9   6    -.99881     .04    -.99877     .18
15     8     9   5    1.09521    -.05    1.09516     .18
                     Reper    H(m)   mH(mm)
                        1  10.50236   .174
                        2  10.07179   .129
                        3   9.49835   .127
                        4  10.02143   .108
                        5  11.18406   .159
                        6   8.92921   .117
                        7  10.96183   .142
                        8   8.86790   .183
                        9   9.96306   .162
           Macierz wariancyjno-kowariancyjna wyznaczanych wysokosci reperow
   .030162  .010109 -.000738 -.001302  .012828 -.010084 -.010809 -.015483 -.014682
   .010109  .016679  .003674  .001056  .007196 -.006856 -.007921 -.012336 -.011602
  -.000738  .003674  .016188  .001541 -.000953 -.001274 -.004326 -.007226 -.006886
  -.001302  .001056  .001541  .011760  .001051 -.001591 -.000535 -.006567 -.005413
   .012828  .007196 -.000953  .001051  .025167 -.008819 -.009120 -.014117 -.013233
  -.010084 -.006856 -.001274 -.001591 -.008819  .013776  .003633  .006139  .005076
  -.010809 -.007921 -.004326 -.000535 -.009120  .003633  .020180  .002339  .006560
  -.015483 -.012336 -.007226 -.006567 -.014117  .006139  .002339  .033448  .013804
  -.014682 -.011602 -.006886 -.005413 -.013233  .005076  .006560  .013804  .026377
   Lp    od     do    Hod(m)     Hdo(m)      DH(m)   mDH(mm)
    1      1      2   10.50236   10.07179    -.43057    .16
    2      1      3   10.50236    9.49835   -1.00401    .22
    3      1      4   10.50236   10.02143    -.48093    .21
    4      1      5   10.50236   11.18406     .68170    .17
    5      1      6   10.50236    8.92921   -1.57315    .25
    6      1      7   10.50236   10.96183     .45947    .27
    7      1      8   10.50236    8.86790   -1.63446    .31
    8      1      9   10.50236    9.96306    -.53930    .29
    9      2      3   10.07179    9.49835    -.57344    .16
   10      2      4   10.07179   10.02143    -.05036    .16
   11      2      5   10.07179   11.18406    1.11227    .17
   12      2      6   10.07179    8.92921   -1.14259    .21
   13      2      7   10.07179   10.96183     .89004    .23
   14      2      8   10.07179    8.86790   -1.20389    .27
   15      2      9   10.07179    9.96306    -.10873    .26
   16      3      4    9.49835   10.02143     .52308    .16
   17      3      5    9.49835   11.18406    1.68571    .21
   18      3      6    9.49835    8.92921    -.56915    .18
   19      3      7    9.49835   10.96183    1.46348    .21
   20      3      8    9.49835    8.86790    -.63045    .25
   21      3      9    9.49835    9.96306     .46471    .24
   22      4      5   10.02143   11.18406    1.16263    .19
   23      4      6   10.02143    8.92921   -1.09223    .17
   24      4      7   10.02143   10.96183     .94040    .18
   25      4      8   10.02143    8.86790   -1.15353    .24
   26      4      9   10.02143    9.96306    -.05837    .22
   27      5      6   11.18406    8.92921   -2.25485    .24
   28      5      7   11.18406   10.96183    -.22223    .25
   29      5      8   11.18406    8.86790   -2.31616    .29
   30      5      9   11.18406    9.96306   -1.22100    .28
   31      6      7    8.92921   10.96183    2.03262    .16
   32      6      8    8.92921    8.86790    -.06131    .19
   33      6      9    8.92921    9.96306    1.03385    .17
   34      7      8   10.96183    8.86790   -2.09393    .22
   35      7      9   10.96183    9.96306    -.99877    .18
   36      8      9    8.86790    9.96306    1.09516    .18
