          Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   1  
  11    13896.0557    21495.4619    13896.0554    21495.4633 
  12    13626.1170    21093.8596    13626.1165    21093.8604 
  13    13754.1237    20199.5246    13754.1256    20199.5257 
  14    13504.3651    22951.4572    13504.3628    22951.4553 
  15    13979.8322    22788.1511    13979.8305    22788.1490 
  16    13199.3304    20783.0463    13199.3315    20783.0461 
  17    13285.3352    21605.5535    13285.3360    21605.5538 
  18    13024.2461    22417.5048    13024.2449    22417.5024 
  19    13196.1303    23888.1275    13196.1267    23888.1245 
  20    13621.1931    23630.7716    13621.1897    23630.7686 
  21    12849.4188    20223.1497    12849.4205    20223.1494 
  22    12884.0589    20868.9368    12884.0599    20868.9363 
  23    12374.4551    21371.9590    12374.4562    21371.9592 
  24    12901.0855    21865.6998    12901.0846    21865.7001 
  25    12282.1102    22295.0375    12282.1100    22295.0351 
  26    12890.9271    23261.6074    12890.9257    23261.6053 
  27    12302.1725    20641.0794    12302.1737    20641.0788 
  28    12036.3034    23230.1315    12036.3023    23230.1276 
  29    12500.1016    23867.2772    12500.0998    23867.2748 
  30    11913.0213    20942.9816    11913.0218    20942.9816 
  31    11459.5945    20405.6860    11459.5961    20405.6853 
  32    11740.3920    21713.8034    11740.3914    21713.8035 
  33    11501.3388    22221.3140    11501.3391    22221.3142 
  34    11555.0709    22691.1258    11555.0698    22691.1224 
  35    11683.8457    23303.8801    11683.8439    23303.8763 
  36    11792.4995    23776.7460    11792.4981    23776.7431 
  37    11004.5110    20617.4367    11004.5136    20617.4391 
  38    11094.9004    21280.7765    11094.9015    21280.7793 
  39    10612.9027    20092.8328    10612.9048    20092.8338 
  40    10399.8038    20738.8922    10399.8061    20738.8930 
  41    10789.6488    21182.2352    10789.6505    21182.2362 
  42    10906.7563    21830.5125    10906.7567    21830.5148 
  43    10148.0784    21427.9803    10148.0784    21427.9826 
  44    10590.8474    22017.7078    10590.8484    22017.7096 
  45    10872.9101    22506.2599    10872.9109    22506.2619 
  46    10199.3708    22426.8856    10199.3710    22426.8869 
  47    10506.6671    22964.9455    10506.6673    22964.9489 
  48    10838.6950    23108.6701    10838.6953    23108.6732 
  49    10761.3277    23662.1362    10761.3275    23662.1401 
  50    10199.8750    23470.4682    10199.8744    23470.4714 

          Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   2  
  11    13896.0557    21495.4619    13896.0572    21495.4588 
  12    13626.1170    21093.8596    13626.1178    21093.8576 
  13    13754.1237    20199.5246    13754.1256    20199.5227 
  14    13504.3651    22951.4572    13504.3653    22951.4577 
  15    13979.8322    22788.1511    13979.8311    22788.1499 
  16    13199.3304    20783.0463    13199.3318    20783.0439 
  17    13285.3352    21605.5535    13285.3371    21605.5510 
  18    13024.2461    22417.5048    13024.2469    22417.5028 
  19    13196.1303    23888.1275    13196.1310    23888.1309 
  20    13621.1931    23630.7716    13621.1940    23630.7739 
  21    12849.4188    20223.1497    12849.4199    20223.1469 
  22    12884.0589    20868.9368    12884.0616    20868.9351 
  23    12374.4551    21371.9590    12374.4573    21371.9571 
  24    12901.0855    21865.6998    12901.0867    21865.6979 
  25    12282.1102    22295.0375    12282.1102    22295.0386 
  26    12890.9271    23261.6074    12890.9264    23261.6097 
  27    12302.1725    20641.0794    12302.1741    20641.0777 
  28    12036.3034    23230.1315    12036.3029    23230.1340 
  29    12500.1016    23867.2772    12500.1011    23867.2808 
  30    11913.0213    20942.9816    11913.0225    20942.9786 
  31    11459.5945    20405.6860    11459.5962    20405.6848 
  32    11740.3920    21713.8034    11740.3922    21713.8031 
  33    11501.3388    22221.3140    11501.3376    22221.3132 
  34    11555.0709    22691.1258    11555.0694    22691.1279 
  35    11683.8457    23303.8801    11683.8440    23303.8821 
  36    11792.4995    23776.7460    11792.4979    23776.7487 
  37    11004.5110    20617.4367    11004.5113    20617.4367 
  38    11094.9004    21280.7765    11094.8994    21280.7769 
  39    10612.9027    20092.8328    10612.9020    20092.8316 
  40    10399.8038    20738.8922    10399.8031    20738.8926 
  41    10789.6488    21182.2352    10789.6481    21182.2346 
  42    10906.7563    21830.5125    10906.7548    21830.5121 
  43    10148.0784    21427.9803    10148.0769    21427.9804 
  44    10590.8474    22017.7078    10590.8470    22017.7068 
  45    10872.9101    22506.2599    10872.9099    22506.2595 
  46    10199.3708    22426.8856    10199.3693    22426.8860 
  47    10506.6671    22964.9455    10506.6656    22964.9484 
  48    10838.6950    23108.6701    10838.6932    23108.6720 
  49    10761.3277    23662.1362    10761.3270    23662.1396 
  50    10199.8750    23470.4682    10199.8734    23470.4708 

          Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   3  
  11    13896.0557    21495.4619    13896.0552    21495.4631 
  12    13626.1170    21093.8596    13626.1183    21093.8604 
  13    13754.1237    20199.5246    13754.1254    20199.5243 
  14    13504.3651    22951.4572    13504.3639    22951.4581 
  15    13979.8322    22788.1511    13979.8303    22788.1513 
  16    13199.3304    20783.0463    13199.3313    20783.0454 
  17    13285.3352    21605.5535    13285.3353    21605.5537 
  18    13024.2461    22417.5048    13024.2449    22417.5046 
  19    13196.1303    23888.1275    13196.1320    23888.1267 
  20    13621.1931    23630.7716    13621.1960    23630.7707 
  21    12849.4188    20223.1497    12849.4185    20223.1534 
  22    12884.0589    20868.9368    12884.0580    20868.9398 
  23    12374.4551    21371.9590    12374.4546    21371.9620 
  24    12901.0855    21865.6998    12901.0827    21865.7014 
  25    12282.1102    22295.0375    12282.1086    22295.0366 
  26    12890.9271    23261.6074    12890.9294    23261.6052 
  27    12302.1725    20641.0794    12302.1718    20641.0820 
  28    12036.3034    23230.1315    12036.3044    23230.1285 
  29    12500.1016    23867.2772    12500.1026    23867.2753 
  30    11913.0213    20942.9816    11913.0212    20942.9846 
  31    11459.5945    20405.6860    11459.5935    20405.6890 
  32    11740.3920    21713.8034    11740.3901    21713.8049 
  33    11501.3388    22221.3140    11501.3376    22221.3151 
  34    11555.0709    22691.1258    11555.0735    22691.1227 
  35    11683.8457    23303.8801    11683.8468    23303.8774 
  36    11792.4995    23776.7460    11792.5013    23776.7447 
  37    11004.5110    20617.4367    11004.5104    20617.4389 
  38    11094.9004    21280.7765    11094.8997    21280.7775 
  39    10612.9027    20092.8328    10612.9039    20092.8350 
  40    10399.8038    20738.8922    10399.8032    20738.8937 
  41    10789.6488    21182.2352    10789.6478    21182.2369 
  42    10906.7563    21830.5125    10906.7547    21830.5139 
  43    10148.0784    21427.9803    10148.0791    21427.9801 
  44    10590.8474    22017.7078    10590.8470    22017.7086 
  45    10872.9101    22506.2599    10872.9089    22506.2570 
  46    10199.3708    22426.8856    10199.3698    22426.8829 
  47    10506.6671    22964.9455    10506.6678    22964.9423 
  48    10838.6950    23108.6701    10838.6953    23108.6666 
  49    10761.3277    23662.1362    10761.3290    23662.1333 
  50    10199.8750    23470.4682    10199.8752    23470.4652 

         Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   4  
  11    13896.0557    21495.4619    13896.0529    21495.4595 
  12    13626.1170    21093.8596    13626.1157    21093.8590 
  13    13754.1237    20199.5246    13754.1226    20199.5248 
  14    13504.3651    22951.4572    13504.3648    22951.4603 
  15    13979.8322    22788.1511    13979.8311    22788.1552 
  16    13199.3304    20783.0463    13199.3286    20783.0456 
  17    13285.3352    21605.5535    13285.3337    21605.5522 
  18    13024.2461    22417.5048    13024.2441    22417.5019 
  19    13196.1303    23888.1275    13196.1307    23888.1294 
  20    13621.1931    23630.7716    13621.1931    23630.7741 
  21    12849.4188    20223.1497    12849.4170    20223.1494 
  22    12884.0589    20868.9368    12884.0570    20868.9360 
  23    12374.4551    21371.9590    12374.4541    21371.9573 
  24    12901.0855    21865.6998    12901.0839    21865.6986 
  25    12282.1102    22295.0375    12282.1126    22295.0375 
  26    12890.9271    23261.6074    12890.9281    23261.6108 
  27    12302.1725    20641.0794    12302.1719    20641.0783 
  28    12036.3034    23230.1315    12036.3050    23230.1343 
  29    12500.1016    23867.2772    12500.1027    23867.2791 
  30    11913.0213    20942.9816    11913.0207    20942.9795 
  31    11459.5945    20405.6860    11459.5948    20405.6860 
  32    11740.3920    21713.8034    11740.3916    21713.8025 
  33    11501.3388    22221.3140    11501.3391    22221.3138 
  34    11555.0709    22691.1258    11555.0717    22691.1255 
  35    11683.8457    23303.8801    11683.8458    23303.8822 
  36    11792.4995    23776.7460    11792.4996    23776.7481 
  37    11004.5110    20617.4367    11004.5115    20617.4355 
  38    11094.9004    21280.7765    11094.8996    21280.7741 
  39    10612.9027    20092.8328    10612.9034    20092.8321 
  40    10399.8038    20738.8922    10399.8053    20738.8919 
  41    10789.6488    21182.2352    10789.6506    21182.2357 
  42    10906.7563    21830.5125    10906.7582    21830.5124 
  43    10148.0784    21427.9803    10148.0795    21427.9800 
  44    10590.8474    22017.7078    10590.8483    22017.7066 
  45    10872.9101    22506.2599    10872.9105    22506.2598 
  46    10199.3708    22426.8856    10199.3714    22426.8849 
  47    10506.6671    22964.9455    10506.6681    22964.9455 
  48    10838.6950    23108.6701    10838.6961    23108.6703 
  49    10761.3277    23662.1362    10761.3284    23662.1358 
  50    10199.8750    23470.4682    10199.8754    23470.4670 

          Pomiar pierwotny           Pomiar aktualny  
 nr p     X P [m]         Y P [m]          x a [mm]        y a [m]  
ZESTAW nr   5  
  11    13896.0557    21495.4619    13896.0582    21495.4601 
  12    13626.1170    21093.8596    13626.1186    21093.8581 
  13    13754.1237    20199.5246    13754.1249    20199.5212 
  14    13504.3651    22951.4572    13504.3655    22951.4599 
  15    13979.8322    22788.1511    13979.8319    22788.1528 
  16    13199.3304    20783.0463    13199.3328    20783.0437 
  17    13285.3352    21605.5535    13285.3373    21605.5515 
  18    13024.2461    22417.5048    13024.2451    22417.5080 
  19    13196.1303    23888.1275    13196.1306    23888.1285 
  20    13621.1931    23630.7716    13621.1932    23630.7736 
  21    12849.4188    20223.1497    12849.4201    20223.1482 
  22    12884.0589    20868.9368    12884.0605    20868.9340 
  23    12374.4551    21371.9590    12374.4558    21371.9583 
  24    12901.0855    21865.6998    12901.0876    21865.6991 
  25    12282.1102    22295.0375    12282.1093    22295.0398 
  26    12890.9271    23261.6074    12890.9268    23261.6101 
